Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",WI18,92,44,"
90.0 %
","
94.9 %
",13.57,"
B+ (3.39)
","
B (3.14)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",WI18,42,39,"
84.6 %
","
100.0 %
",16.35,"
B (3.05)
","
B- (2.82)
"
"Hampton, Randolph Y.","
BIPN 108 - Biology and Med of Exercise (A)
",WI18,396,193,"
95.7 %
","
97.8 %
",5.19,"
B+ (3.58)
","
B+ (3.56)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI18,251,153,"
98.0 %
","
98.0 %
",6.47,"
B+ (3.31)
","
B (3.23)
"
"Wang, Jing","
BIPN 142 - Systems Neurobiology (A)
",WI18,77,34,"
97.1 %
","
88.2 %
",7.26,"
B (3.18)
","
B- (2.93)
"
"Ackerman, Susan","
BIPN 194 - Adv Topics-Phys/Neuro (A)
",WI18,20,12,"
91.7 %
","
83.3 %
",5.05,"
A- (3.91)
","
B+ (3.55)
"
"Newsam, John","
BISP 194 - Adv Topics in Modern Biology (A)
",WI18,34,27,"
100.0 %
","
100.0 %
",2.65,"
A- (3.92)
","
A- (3.99)
"
"Muotri, Alysson","
BISP 194 - Adv Topics in Modern Biology (B)
",WI18,34,15,"
91.7 %
","
83.3 %
",4.67,"
A- (3.91)
","
A- (3.81)
"
"Lo, Stanley Malvin Ming-Hi","
BISP 195 - Instructional Apprentice: Biol (0)
",WI18,89,50,"
89.8 %
","
98.0 %
",1.14,"
A (4.00)
","
N/A
"
"Bigham, David Joseph","
CAT 1 - Culture, Art & Technology 1 (A)
",FA18,194,134,"
86.2 %
","
95.8 %
",3.82,"
B+ (3.54)
","
B+ (3.39)
"
"Bronstein, Phoebe Malan","
CAT 1 - Culture, Art & Technology 1 (B)
",FA18,194,187,"
89.7 %
","
94.6 %
",4.62,"
B+ (3.42)
","
B+ (3.39)
"
"Glaser, Amelia","
CAT 1 - Culture, Art & Technology 1 (C)
",FA18,163,147,"
55.8 %
","
79.6 %
",4.31,"
B+ (3.40)
","
B+ (3.55)
"
"Borgo, David Garcia","
CAT 1 - Culture, Art & Technology 1 (D)
",FA18,170,163,"
75.8 %
","
88.2 %
",3.56,"
B+ (3.49)
","
B+ (3.56)
"
"Ano, Michael Shigeya","
CAT 1 - Culture, Art & Technology 1 (E)
",FA18,152,117,"
64.5 %
","
74.1 %
",3.71,"
B (3.18)
","
B+ (3.31)
"
"Pantoja, Jennifer Metten","
CAT 1 - Culture, Art & Technology 1 (F)
",FA18,183,182,"
80.7 %
","
97.8 %
",4.18,"
B+ (3.57)
","
B+ (3.54)
"
"Bigham, David Joseph","
CAT 125 - Public Rhetoric & Pract Commun (A)
",FA18,90,34,"
93.3 %
","
96.6 %
",4,"
B+ (3.67)
","
B+ (3.34)
"
"Smith, Ashley Elizabeth","
CAT 125 - Public Rhetoric & Pract Commun (B)
",FA18,148,137,"
92.5 %
","
96.3 %
",5.62,"
B+ (3.67)
","
A- (3.72)
"
"Zhang, Kefei Kevin","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",FA18,189,123,"
91.3 %
","
94.8 %
",3.51,"
B+ (3.68)
","
B+ (3.63)
"
"Smith, Ashley Elizabeth","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",S118,169,128,"
90.5 %
","
96.0 %
",5.6,"
A- (3.79)
","
A- (3.84)
"
"Pantoja, Jennifer Metten","
CAT 125 - Public Rhetoric & Pract Commun (A)
",SP18,190,174,"
83.2 %
","
91.9 %
",3.19,"
A- (3.75)
","
B+ (3.69)
"
"Bigham, David Joseph","
CAT 125 - Public Rhetoric & Pract Commun (B)
",SP18,91,40,"
66.7 %
","
93.9 %
",4.62,"
B+ (3.46)
","
B+ (3.32)
"
"Sartor, Alexandra","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",SP18,190,120,"
87.3 %
","
96.6 %
",3.96,"
A- (3.76)
","
A- (3.71)
"
"Bronstein, Phoebe Malan","
CAT 3 - Culture, Art & Technology III (A)
",SP18,269,254,"
86.2 %
","
92.0 %
",4.13,"
B+ (3.64)
","
B+ (3.61)
"
"Glaser, Amelia","
CAT 3 - Culture, Art & Technology III (B)
",SP18,247,135,"
74.6 %
","
89.6 %
",3.79,"
B+ (3.66)
","
B+ (3.56)
"
"Bigham, David Joseph","
CAT 3 - Culture, Art & Technology III (C)
",SP18,195,107,"
69.5 %
","
91.4 %
",3.4,"
B+ (3.41)
","
B+ (3.36)
"
"Smith, Ashley Elizabeth","
CAT 3 - Culture, Art & Technology III (D)
",SP18,198,174,"
75.3 %
","
76.3 %
",3.08,"
B+ (3.56)
","
B+ (3.60)
"
"Godino, Job Gideon","
CAT 124 - Sixth College Practicum (A)
",WI18,8,4,"
100.0 %
","
100.0 %
",3,"
A (4.00)
","
N/A
"
"Smith, Ashley Elizabeth","
CAT 125 - Public Rhetoric & Pract Commun (A)
",WI18,181,148,"
87.8 %
","
91.8 %
",5.1,"
B+ (3.66)
","
B+ (3.65)
"
"Sartor, Alexandra","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",WI18,190,140,"
74.5 %
","
94.2 %
",3.57,"
B+ (3.68)
","
B+ (3.65)
"
"Trigilio, Michael","
CAT 2 - Culture, Art & Technology II (A)
",WI18,182,171,"
64.3 %
","
73.7 %
",4.23,"
B+ (3.38)
","
B+ (3.34)
"
"Glaser, Amelia","
CAT 2 - Culture, Art & Technology II (B)
",WI18,185,105,"
70.4 %
","
86.6 %
",4.46,"
B+ (3.49)
","
B+ (3.47)
"
"Pantoja, Jennifer Metten","
CAT 2 - Culture, Art & Technology II (C)
",WI18,183,164,"
87.8 %
","
97.6 %
",4.94,"
B+ (3.58)
","
B+ (3.63)
"
"Bigham, David Joseph","
CAT 2 - Culture, Art & Technology II (D)
",WI18,196,119,"
81.3 %
","
97.1 %
",3.79,"
B+ (3.45)
","
B+ (3.44)
"
"Bronstein, Phoebe Malan","
CAT 2 - Culture, Art & Technology II (E)
",WI18,161,127,"
86.3 %
","
90.2 %
",4.39,"
B+ (3.52)
","
B+ (3.45)
"
"Bronstein, Phoebe Malan","
CAT 87 - Freshman Seminar (A)
",WI18,11,10,"
100.0 %
","
100.0 %
",2.1,"
A (4.00)
","
N/A
"
"Whitley, Leila Marie","
CGS 100A - Conceptualizing Gndr: Theories (A)
",FA18,24,11,"
90.0 %
","
100.0 %
",4.14,"
B+ (3.55)
","
B+ (3.56)
"
"Whitley, Leila Marie","
CGS 111 - Gender and the Body (A)
",FA18,31,13,"
83.3 %
","
81.8 %
",5.67,"
A- (3.75)
","
B+ (3.30)
"
"Icreverzi, Kimberly Heathe","
CGS 122 - Adv. Top/Compar. Perspectives (A)
",FA18,10,4,"
75.0 %
","
75.0 %
",4,"
B+ (3.33)
","
N/A
"
"Kaplan, Sara Clarke","
CGS 190 - Honors Seminar (A)
",FA18,4,3,"
100.0 %
","
100.0 %
",16.5,"
B+ (3.67)
","
N/A
"
"Icreverzi, Kimberly Heathe","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA18,100,46,"
75.0 %
","
83.7 %
",5.32,"
B+ (3.31)
","
B (3.20)
"
"Wesling, Megan E.","
CGS 87 - Freshman Seminar (B)
",FA18,11,8,"
100.0 %
","
100.0 %
",0.5,"
N/A
","
N/A
"
"Nguyen, Hoang Tan","
CGS 87 - Freshman Seminar (C)
",FA18,11,7,"
100.0 %
","
100.0 %
",1.64,"
A (4.00)
","
N/A
"
"Abusneineh, Bayan Abdelmajid","
CGS 123 - Gender & Reproductive Politics (A)
",S218,9,9,"
100.0 %
","
100.0 %
",6.06,"
A- (3.88)
","
N/A
"
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",S218,30,10,"
90.0 %
","
100.0 %
",2.3,"
A- (3.88)
","
A- (3.79)
"
"Kheshti, Roshanak","
CGS 105 - Queer Theory (A)
",S118,14,4,"
100.0 %
","
75.0 %
",9,"
A- (3.75)
","
N/A
"
"Celleri, Maria","
CGS 112 - Sexuality & Nation (A)
",S118,12,3,"
100.0 %
","
100.0 %
",5.17,"
A (4.00)
","
N/A
"
"Nguyen, Ly Thuy","
CGS 114 - Gender,Race,Ethnicity & Class (A)
",S118,3,3,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.33)
","
N/A
"
"Gore, Dayo F.","
CGS 100B - Conceptualizing Gndr: Methods (A)
",SP18,14,4,"
66.7 %
","
66.7 %
",5,"
B+ (3.50)
","
N/A
"
"Zarate, Salvador Elias","
CGS 106 - Gender & the Law (A)
",SP18,33,26,"
100.0 %
","
100.0 %
",5.04,"
A- (3.80)
","
A- (3.88)
"
"Dorr, Kirstie A.","
CGS 112 - Sexuality & Nation (A)
",SP18,24,10,"
100.0 %
","
100.0 %
",3.17,"
A- (3.88)
","
A- (3.87)
"
"Taylor-Garcia, Daphne","
CGS 114 - Gender,Race,Ethnicity & Class (A)
",SP18,18,11,"
100.0 %
","
100.0 %
",5.9,"
A- (3.90)
","
N/A
"
"Hankins, Joseph D.","
CGS 118 - Gender and Incarceration (A)
",SP18,12,4,"
100.0 %
","
100.0 %
",5.5,"
A- (3.75)
","
N/A
"
"Zarate, Salvador Elias","
CGS 187 - Latinx Sexualities (A)
",SP18,17,7,"
100.0 %
","
100.0 %
",4.5,"
A- (3.86)
","
N/A
"
"Hernandez, Jillian","
CGS 2B - Intro/CGS:Social Formations (A)
",SP18,45,23,"
100.0 %
","
100.0 %
",3.64,"
A- (3.80)
","
B+ (3.59)
"
"Hankins, Joseph D.","
CGS 87 - Freshman Seminar (B)
",SP18,14,5,"
100.0 %
","
100.0 %
",0.9,"
N/A
","
N/A
"
"Zarate, Salvador Elias","
CGS 101 - Gender,Modernity&Globalization (A)
",WI18,40,24,"
95.7 %
","
95.7 %
",5.58,"
A- (3.71)
","
A- (3.78)
"
"Wesling, Megan E.","
CGS 105 - Queer Theory (A)
",WI18,36,19,"
100.0 %
","
100.0 %
",5.45,"
B+ (3.53)
","
B+ (3.54)
"
"Zarate, Salvador Elias","
CGS 123 - Gender & Reproductive Politics (A)
",WI18,17,11,"
100.0 %
","
100.0 %
",5.3,"
A (4.00)
","
N/A
"
"Hernandez, Jillian","
CGS 137 - Latina Issues & Cultural Prod. (A)
",WI18,12,7,"
100.0 %
","
100.0 %
",5.07,"
A (4.00)
","
N/A
"
"Taylor-Garcia, Daphne","
CGS 150 - Visuality, Sexuality, and Race (A)
",WI18,14,8,"
100.0 %
","
100.0 %
",4.75,"
A- (3.75)
","
N/A
"
"Hankins, Joseph D.","
CGS 87 - Freshman Seminar (A)
",WI18,17,12,"
90.9 %
","
100.0 %
",1.77,"
A (4.00)
","
N/A
"
"Leigh, Brian","
CHEM 100A - Analytical Chemistry Lab (A)
",FA18,142,60,"
84.5 %
","
93.1 %
",10.3,"
B (3.14)
","
B (3.05)
"
"Crowell, John E","
CHEM 105A - Physical Chemistry Laboratory (A)
",FA18,33,8,"
100.0 %
","
75.0 %
",10.75,"
B+ (3.50)
","
B+ (3.48)
"
"Crowell, John E","
CHEM 105A - Physical Chemistry Laboratory (B)
",FA18,21,7,"
85.7 %
","
100.0 %
",10.79,"
B (3.29)
","
B+ (3.48)
"
"Ghosh, Gourisankar","
CHEM 108 - Protein Biochemistry Lab (A)
",FA18,47,32,"
93.5 %
","
86.7 %
",4.76,"
A- (3.71)
","
B+ (3.61)
"
"Ghosh, Gourisankar","
CHEM 108 - Protein Biochemistry Lab (B)
",FA18,48,19,"
87.5 %
","
86.7 %
",4.38,"
A- (3.82)
","
B+ (3.61)
"
"Mrse, Anthony Adrian","
CHEM 11 - The Periodic Table (A)
",FA18,250,117,"
85.8 %
","
91.9 %
",4.68,"
B (3.20)
","
B- (2.76)
"
"Toor, Navtej","
CHEM 114A - Biochemical Structure&Function (A)
",FA18,286,142,"
76.5 %
","
70.9 %
",6.06,"
B (3.16)
","
B (3.12)
"
"Ghosh, Gourisankar","
CHEM 114D - Molecular & Cellular Biochem (A)
",FA18,20,8,"
87.5 %
","
87.5 %
",6.25,"
B+ (3.38)
","
B+ (3.35)
"
"Galperin, Michael","
CHEM 127 - Physical Chem: Thermodynamics (A)
",FA18,104,39,"
43.2 %
","
44.4 %
",9.2,"
B- (2.76)
","
C+ (2.57)
"
"Sinha, Amitabha","
CHEM 130 - Chem Physics: Quantum Mech (A)
",FA18,111,47,"
53.3 %
","
64.4 %
",10.02,"
C+ (2.50)
","
C+ (2.51)
"
"Esko, Jeffrey D.","
CHEM 142 - Intro to Glycosciences (A)
",FA18,16,5,"
80.0 %
","
100.0 %
",4.1,"
B- (2.80)
","
N/A
"
"Godula, Kamil","
CHEM 142 - Intro to Glycosciences (A)
",FA18,14,5,"
80.0 %
","
100.0 %
",4.1,"
B- (2.80)
","
N/A
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA18,63,25,"
87.5 %
","
91.3 %
",6.58,"
B+ (3.50)
","
B+ (3.38)
"
"Weizman, Haim","
CHEM 143D - Molecular Design & Synthesis (A)
",FA18,16,7,"
100.0 %
","
100.0 %
",9.93,"
B+ (3.43)
","
N/A
"
"Theodorakis, Emmanuel","
CHEM 152 - Synthetic Methods/Organic Chem (A)
",FA18,59,21,"
100.0 %
","
100.0 %
",4.5,"
B (3.10)
","
B (3.23)
"
"Tor, Yitzhak","
CHEM 154 - Mechanisms/Organic Reactions (A)
",FA18,64,17,"
92.9 %
","
100.0 %
",7.17,"
B+ (3.36)
","
B+ (3.49)
"
"Grassian, Vicki Helene","
CHEM 171 - Environmental Chemistry I (A)
",FA18,77,32,"
89.7 %
","
89.7 %
",4.43,"
B+ (3.31)
","
B- (2.98)
"
"Sullivan, Michael N","
CHEM 171 - Environmental Chemistry I (A)
",FA18,80,31,"
89.3 %
","
82.1 %
",4.5,"
B+ (3.32)
","
B- (2.98)
"
"Hoeger, Carl","
CHEM 4 - Basic Chemistry (A)
",FA18,332,188,"
75.0 %
","
75.9 %
",6.18,"
C+ (2.60)
","
B- (2.96)
"
"Oconnor, Joseph M.","
CHEM 40A - Organic Chemistry I (A)
",FA18,280,145,"
71.1 %
","
73.6 %
",9.15,"
B- (2.98)
","
C+ (2.52)
"
"Hirschauer, Sonia S","
CHEM 40A - Organic Chemistry I (B)
",FA18,227,130,"
84.4 %
","
98.3 %
",7.42,"
B- (2.92)
","
C+ (2.62)
"
"Klosterman, Jeremy K","
CHEM 40A - Organic Chemistry I (C)
",FA18,126,96,"
91.6 %
","
94.7 %
",7.64,"
B- (2.97)
","
B- (2.79)
"
"Perrin, Charles L.","
CHEM 40A - Organic Chemistry I (D)
",FA18,232,100,"
75.0 %
","
72.8 %
",8.61,"
B- (2.98)
","
C+ (2.63)
"
"Hoeger, Carl","
CHEM 40A - Organic Chemistry I (E)
",FA18,341,167,"
78.6 %
","
81.6 %
",9.47,"
B (3.01)
","
B (3.03)
"
"Theodorakis, Emmanuel","
CHEM 40B - Organic Chemistry II (A)
",FA18,360,134,"
81.0 %
","
85.1 %
",7.64,"
B- (2.72)
","
C+ (2.42)
"
"Albizati, Kim F.","
CHEM 40C - Organic Chemistry III (A)
",FA18,352,115,"
78.5 %
","
93.3 %
",8.63,"
B- (2.97)
","
C+ (2.68)
"
"Ternansky, Robert J.","
CHEM 43A - Organic Chemistry Laboratory (A)
",FA18,460,194,"
80.9 %
","
93.5 %
",7.69,"
B (3.23)
","
B (3.11)
"
"Hirschauer, Sonia S","
CHEM 6A - General Chemistry I (A)
",FA18,281,211,"
92.0 %
","
96.4 %
",5.95,"
B- (2.97)
","
C+ (2.67)
"
"Zid, Brian M","
CHEM 6A - General Chemistry I (B)
",FA18,413,244,"
94.0 %
","
92.7 %
",5.08,"
B (3.20)
","
B (3.11)
"
"Brydges, Stacey","
CHEM 6A - General Chemistry I (C)
",FA18,416,244,"
87.9 %
","
90.5 %
",6.95,"
B (3.10)
","
B- (2.83)
"
"Lam, Tin Yiu","
CHEM 6A - General Chemistry I (D)
",FA18,389,235,"
96.4 %
","
95.9 %
",5.4,"
B (3.29)
","
B- (3.00)
"
"Lam, Tin Yiu","
CHEM 6A - General Chemistry I (E)
",FA18,352,214,"
91.5 %
","
92.0 %
",5.45,"
B (3.20)
","
B- (3.00)
"
"Bussey, Thomas J","
CHEM 6A - General Chemistry I (F)
",FA18,409,251,"
93.2 %
","
95.7 %
",5.94,"
B (3.22)
","
B (3.04)
"
"Crowell, John E","
CHEM 6A - General Chemistry I (G)
",FA18,186,105,"
67.3 %
","
40.8 %
",6.54,"
B- (2.82)
","
B- (2.79)
"
"Albizati, Kim F.","
CHEM 6A - General Chemistry I (H)
",FA18,407,244,"
93.4 %
","
92.4 %
",5.04,"
B+ (3.50)
","
B- (2.77)
"
"Swift, Robert Vernon","
CHEM 6A - General Chemistry I (I)
",FA18,140,80,"
89.2 %
","
89.2 %
",5.11,"
B (3.17)
","
C+ (2.40)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA18,114,92,"
77.5 %
","
86.2 %
",8.08,"
B (3.09)
","
B (3.17)
"
"Young, Mark","
CHEM 6B - General Chemistry II (A)
",FA18,228,116,"
73.5 %
","
77.9 %
",6.8,"
B- (2.83)
","
C+ (2.63)
"
"Bussey, Thomas J","
CHEM 6C - General Chemistry  III (A)
",FA18,395,202,"
92.2 %
","
99.5 %
",6.7,"
B (3.01)
","
C+ (2.49)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (A)
",FA18,285,149,"
67.6 %
","
74.1 %
",6.82,"
B- (2.99)
","
B- (2.87)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (B)
",FA18,335,156,"
64.9 %
","
72.1 %
",7.22,"
B- (2.99)
","
B- (2.87)
"
"Bussey, Thomas J","
CHEM 87 - Freshman Seminar (A)
",FA18,17,9,"
100.0 %
","
100.0 %
",0.75,"
A (4.00)
","
N/A
"
"Bussey, Thomas J","
CHEM 96 - Introductn to Teaching Science (A)
",FA18,14,8,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.63)
","
N/A
"
"Bussey, Thomas J","
CHEM 114A - Biochemical Structure&Function (A)
",S218,61,17,"
100.0 %
","
100.0 %
",8.03,"
B (3.29)
","
B- (2.87)
"
"Klosterman, Jeremy K","
CHEM 40A - Organic Chemistry I (A)
",S218,56,34,"
93.9 %
","
97.0 %
",10.86,"
B (3.00)
","
B- (2.73)
"
"Lacoske, Michelle Hill","
CHEM 40B - Organic Chemistry II (A)
",S218,119,23,"
81.8 %
","
95.5 %
",11.59,"
B (3.09)
","
B- (2.86)
"
"Ternansky, Robert J.","
CHEM 40C - Organic Chemistry III (A)
",S218,56,13,"
83.3 %
","
75.0 %
",13.58,"
B- (2.83)
","
B- (2.83)
"
"Bussey, Thomas J","
CHEM 6A - General Chemistry I (A)
",S218,134,53,"
97.9 %
","
97.9 %
",7.02,"
B+ (3.59)
","
B (3.18)
"
"Johnson, Christina A","
CHEM 6B - General Chemistry II (A)
",S218,44,11,"
100.0 %
","
100.0 %
",9.95,"
B (3.18)
","
B- (2.82)
"
"Johnson, Christina A","
CHEM 6C - General Chemistry  III (A)
",S218,65,19,"
94.1 %
","
94.1 %
",11.17,"
B (3.17)
","
B- (2.92)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",S118,43,16,"
93.8 %
","
93.8 %
",8.63,"
B (3.07)
","
B+ (3.30)
"
"Klosterman, Jeremy K","
CHEM 40A - Organic Chemistry I (A)
",S118,78,20,"
80.0 %
","
70.0 %
",12.1,"
B- (2.95)
","
B- (2.76)
"
"Weizman, Haim","
CHEM 40B - Organic Chemistry II (A)
",S118,144,31,"
80.0 %
","
86.7 %
",11.03,"
B- (2.72)
","
B- (2.88)
"
"Klosterman, Jeremy K","
CHEM 40C - Organic Chemistry III (A)
",S118,47,13,"
76.9 %
","
92.3 %
",14.04,"
B+ (3.31)
","
B- (2.87)
"
"Weizman, Haim","
CHEM 43A - Organic Chemistry Laboratory (A)
",S118,114,22,"
60.0 %
","
95.0 %
",10.1,"
B (3.25)
","
B (3.03)
"
"Katz, Faith Erin Heffernan","
CHEM 6A - General Chemistry I (A)
",S118,43,25,"
84.0 %
","
87.5 %
",5.7,"
B (3.04)
","
B (3.23)
"
"Hoeger, Carl","
CHEM 6B - General Chemistry II (A)
",S118,49,24,"
77.3 %
","
77.3 %
",9.8,"
B- (2.82)
","
B- (2.85)
"
"Hoeger, Carl","
CHEM 6C - General Chemistry  III (A)
",S118,78,22,"
71.4 %
","
76.2 %
",11.36,"
B- (2.71)
","
B (3.10)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (A)
",S118,64,22,"
68.2 %
","
81.8 %
",10.23,"
B- (2.95)
","
B- (2.97)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (B)
",S118,50,12,"
63.6 %
","
90.9 %
",8.33,"
C+ (2.67)
","
B- (2.97)
"
"Tauber, Michael","
CHEM 7L - General Chemistry Laboratory (C)
",S118,65,17,"
71.4 %
","
64.3 %
",10.63,"
B (3.13)
","
B- (2.97)
"
"Tauber, Michael","
CHEM 7L - General Chemistry Laboratory (D)
",S118,66,15,"
100.0 %
","
71.4 %
",8.35,"
B (3.07)
","
B- (2.97)
"
"Pomeroy, Robert S.","
CHEM 100A - Analytical Chemistry Lab (A)
",SP18,87,40,"
80.6 %
","
97.1 %
",9.94,"
B (3.22)
","
B (3.04)
"
"Pomeroy, Robert S.","
CHEM 100B - Instrumental Chemistry Lab (A)
",SP18,30,11,"
70.0 %
","
80.0 %
",8.3,"
B+ (3.30)
","
B (3.02)
"
"Sinha, Amitabha","
CHEM 105A - Physical Chemistry Laboratory (A)
",SP18,77,27,"
73.1 %
","
92.3 %
",8.96,"
B+ (3.42)
","
B+ (3.32)
"
"Jennings, Patricia A.","
CHEM 108 - Protein Biochemistry Lab (A)
",SP18,48,18,"
72.2 %
","
38.9 %
",8.28,"
A- (3.72)
","
B+ (3.70)
"
"Jennings, Patricia A.","
CHEM 108 - Protein Biochemistry Lab (B)
",SP18,31,11,"
81.8 %
","
36.4 %
",6.68,"
A- (3.73)
","
B+ (3.70)
"
"Wang, Wei","
CHEM 11 - The Periodic Table (A)
",SP18,242,197,"
84.2 %
","
88.8 %
",3.92,"
B (3.27)
","
B (3.13)
"
"Debelouchina, Galia T","
CHEM 113 - Biophysical Chem of Macromolec (B)
",SP18,21,9,"
88.9 %
","
100.0 %
",6.5,"
A- (3.89)
","
A (4.00)
"
"Komives, Elizabeth A","
CHEM 113 - Biophysical Chem of Macromolec (B)
",SP18,21,9,"
88.9 %
","
100.0 %
",6.5,"
A- (3.89)
","
A (4.00)
"
"Joseph, Simpson","
CHEM 114C - Biosynthesis of Macromolecules (A)
",SP18,214,67,"
76.9 %
","
75.0 %
",7.39,"
B (3.22)
","
C+ (2.54)
"
"Amaro, Rommie E","
CHEM 118 - Pharmacology and Toxicology (A)
",SP18,194,74,"
87.5 %
","
80.6 %
",5.77,"
B+ (3.61)
","
B+ (3.42)
"
"Sailor, Michael Joseph","
CHEM 123 - Advanced Inorganic Chem Lab (A)
",SP18,14,9,"
88.9 %
","
100.0 %
",3.17,"
B+ (3.67)
","
N/A
"
"Crowell, John E","
CHEM 126 - Physical Chem: Quantum Mech (A)
",SP18,57,16,"
64.3 %
","
76.9 %
",9.3,"
B (3.00)
","
B- (2.99)
"
"Yuen Zhou, Joel","
CHEM 127 - Physical Chem: Thermodynamics (A)
",SP18,71,53,"
75.5 %
","
94.3 %
",6.81,"
B (3.11)
","
B+ (3.47)
"
"Opella, Stanley J","
CHEM 13 - Chemistry of Life (A)
",SP18,60,25,"
62.5 %
","
66.7 %
",3.94,"
B- (2.80)
","
C+ (2.59)
"
"Xiong, Wei","
CHEM 132 - Chem Physics: Stat Thermo II (A)
",SP18,72,26,"
84.6 %
","
96.2 %
",6.65,"
B (3.27)
","
B (3.06)
"
"Xiong, Wei","
CHEM 135 - Molecular Spectroscopy (A)
",SP18,4,4,"
75.0 %
","
100.0 %
",11.5,"
C+ (2.67)
","
N/A
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP18,77,26,"
91.3 %
","
75.0 %
",7.54,"
B (3.08)
","
B+ (3.38)
"
"Weizman, Haim","
CHEM 151 - Molecules That Changed World (A)
",SP18,56,21,"
85.0 %
","
85.0 %
",2.6,"
B+ (3.40)
","
B+ (3.47)
"
"Burkart, Michael D","
CHEM 157 - Bioorganic & Natural Prod Chem (A)
",SP18,45,25,"
79.2 %
","
87.5 %
",5.92,"
B- (2.95)
","
B (3.22)
"
"Baker, Timothy Stanley","
CHEM 164 - Structural Biology of Viruses (A)
",SP18,15,13,"
100.0 %
","
100.0 %
",5.88,"
B (3.08)
","
N/A
"
"Amaro, Rommie E","
CHEM 167 - Medicinal Chemistry (A)
",SP18,89,34,"
94.1 %
","
88.2 %
",5.89,"
B+ (3.42)
","
B (3.27)
"
"Kristensen, Louise J","
CHEM 173 - Atmospheric Chemistry (A)
",SP18,53,18,"
70.6 %
","
68.8 %
",4.38,"
B (3.00)
","
B (3.15)
"
"Dickson, Andrew Gilmore","
CHEM 174 - Chem Prin of Marine Systems (A)
",SP18,22,9,"
50.0 %
","
50.0 %
",3,"
B (3.25)
","
B- (2.87)
"
"Bafna, Vineet","
CHEM 182 - Biological Databases (A)
",SP18,6,3,"
100.0 %
","
100.0 %
",11.83,"
B (3.00)
","
N/A
"
"Gilson, Michael K.","
CHEM 185 - Intro/Computational Chemistry (B)
",SP18,12,7,"
100.0 %
","
100.0 %
",8.21,"
B (3.29)
","
N/A
"
"Bussey, Thomas J","
CHEM 188 - Capstone Sem in Science Eductn (A)
",SP18,10,6,"
100.0 %
","
100.0 %
",4.1,"
A (4.00)
","
N/A
"
"Hoeger, Carl","
CHEM 40A - Organic Chemistry I (A)
",SP18,242,98,"
77.3 %
","
76.1 %
",8.28,"
B- (2.87)
","
B- (2.73)
"
"Weizman, Haim","
CHEM 40B - Organic Chemistry II (A)
",SP18,386,148,"
72.7 %
","
82.4 %
",7.99,"
B- (2.79)
","
B- (2.75)
"
"Molinski, Tadeusz","
CHEM 40B - Organic Chemistry II (B)
",SP18,101,35,"
43.3 %
","
30.0 %
",8.69,"
C (2.28)
","
C+ (2.42)
"
"Ternansky, Robert J.","
CHEM 40C - Organic Chemistry III (A)
",SP18,124,56,"
90.4 %
","
94.2 %
",8.62,"
B (3.15)
","
B- (2.84)
"
"Hoeger, Carl","
CHEM 40C - Organic Chemistry III (B)
",SP18,261,110,"
64.4 %
","
76.7 %
",8.98,"
B- (2.87)
","
B- (2.86)
"
"Tor, Yitzhak","
CHEM 40CH - Honors Organic Chemistry III (A)
",SP18,72,34,"
97.0 %
","
97.0 %
",7.26,"
B+ (3.47)
","
B+ (3.44)
"
"Klosterman, Jeremy K","
CHEM 43A - Organic Chemistry Laboratory (A)
",SP18,194,162,"
68.1 %
","
46.9 %
",7.74,"
B (3.01)
","
B (3.00)
"
"Klosterman, Jeremy K","
CHEM 43A - Organic Chemistry Laboratory (B)
",SP18,193,161,"
59.1 %
","
56.6 %
",7.93,"
B (3.01)
","
B (3.00)
"
"Zid, Brian M","
CHEM 6A - General Chemistry I (A)
",SP18,100,41,"
87.2 %
","
91.9 %
",6.6,"
B (3.05)
","
C+ (2.70)
"
"Deshmukh, Lalit","
CHEM 6A - General Chemistry I (B)
",SP18,102,64,"
87.3 %
","
90.3 %
",5.61,"
B- (2.98)
","
C+ (2.30)
"
